,Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultsScore, ,EventScore
26,26,8644,MauriceSMITH,28SEP1980,JAM,2,,"YanmarStadiumNagai,Osaka(JPN)",01SEP2007,1226, ,(10.62/+0.7-7.50/0.0-17.32-1.97-47.48/13.91/-0.2-52.36-4.80-53.61-4:33.52)
27,28,8627,RobertZMĚLÍK,18APR1969,TCH,1,,Götzis(AUT),31MAY1992,1224, ,(10.62/+2.1-8.02/+0.2-13.93-2.05-48.73/13.84/+1.2-44.44-4.90-61.26-4:24.83)
28,29,8626,MichaelSMITH,16SEP1967,CAN,1,,Götzis(AUT),26MAY1996,1223, ,(11.23/-0.6-7.72/+0.6-16.94-1.97-48.69/14.77/-2.4-52.90-4.90-71.22-4:41.95)
29,30,8617,AndreiKRAUCHANKA,04JAN1986,BLR,1,,"Mösle-Stadium,Götzis(AUT)",27MAY2007,1222, ,(10.86/+0.2-7.90/+0.9-13.89-2.15-47.46/14.05/-0.1-39.63-5.00-64.35-4:29.10)
30,31,8605,ArthurABELE,30JUL1986,GER,1,,"Stadionring,Ratingen(GER)",26JUN2016,1220, ,(10.95/-0.6-7.48/+0.4-15.79-1.98-49.43/14.07/-0.9-46.20-4.90-71.89-4:24.12)
31,32,8604,MaicelUIBO,27DEC1992,EST,2,,"KhalifaInternationalStadium,Doha(QAT)",04OCT2019,1220, ,(11.10/+0.3-7.46/+0.2-15.12-2.17-50.44/14.43/+0.2-46.64-5.40-63.83-4:31.51)
32,32,8604,PierceLEPAGE,22JAN1996,CAN,5,,"NationalStadium,Tokyo(JPN)",05AUG2021,1220, ,(10.43/+0.2-7.65/+0.9-15.31-1.99-46.92/14.39/-1.0-47.14-5.00-57.24-4:31.85)
33,34,8603,DeanMACEY,12DEC1977,GBR,3,,"CommonwealthStadium,Edmonton(CAN)",07AUG2001,1220, ,(10.72/-0.7-7.59/+0.4-15.41-2.15-46.21/14.34/0.0-46.96-4.70-54.61-4:29.05)
34,35,8601,IlyaSHKURENYOV,11JAN1991,RUS,1,,Smolensk(RUS),10JUN2017,1220, ,(10.89/+0.7-7.58/+0.9-14.15-2.12-49.00/13.95/+1.4-44.91-5.30-60.29-4:28.35)
35,36,8583,JónArnarMAGNÚSSON,28JUL1969,ISL,1,,Reykjavík(ISL),05JUL1998,1193, ,(10.68/+2.0-7.63/+2.0-15.57-2.07-47.78/14.33/+5.2-44.53-5.00-64.16-4:41.60)
36,37,8580,KaiKAZMIREK,28JAN1991,GER,4,,"EstádioOlímpico,RiodeJaneiro(BRA)",18AUG2016,1216, ,(10.78/-0.1-7.69/-1.0-14.20-2.10-46.75/14.62/+0.7-43.25-5.00-64.60-4:31.25)
37,38,8574,ChristianPLAZIAT,28OCT1963,FRA,1,,"PoljudStadion,Split(CRO)",29AUG1990,1215, ,(10.72/-0.6-7.77/+1.1-14.19-2.10-47.10/13.98/+0.7-44.36-5.00-54.72-4:27.83)
38,38,8574,OleksandrYURKOV,21JUL1975,UKR,4,,Götzis(AUT),04JUN2000,1215, ,(10.69/+0.9-7.93/+1.8-15.26-2.03-49.74/14.56/-0.9-47.85-5.15-58.92-4:32.49)
39,40,8571,LevLOBODIN,01APR1969,RUS,3,,"Népstadion,Budapest(HUN)",20AUG1998,1215, ,(10.66/+2.2-7.42/-0.2-15.67-2.03-48.65/13.97/+0.9-46.55-5.20-56.55-4:30.27)
40,41,8566,SebastianCHMARA,21NOV1971,POL,1,,AlhamadeMurcia(ESP),17MAY1998,1214, ,(10.97/+2.9-7.56/-1.2-16.03-2.10-48.27/14.32/+1.8-44.39-5.20-57.25-4:29.66)
41,42,8558,PascalBEHRENBRUCH,19JAN1985,GER,1,,"Olympiastadion,Helsinki(FIN)",28JUN2012,1213, ,(10.93/+0.8-7.15/-0.8-16.89-1.97-48.54/14.16/+0.2-48.24-5.00-67.45-4:34.02)
42,43,8554,AttilaZSIVOCZKY-PANDEL,29APR1977,HUN,5,,Götzis(AUT),04JUN2000,1212, ,(10.64/+2.1-7.24/-1.0-15.72-2.18-48.13/14.87/-0.9-45.64-4.65-63.57-4:23.13)
43,44,8548,PaulMEIER,27JUL1971,GER,3,,"Gottlieb-DaimlerStadion,Stuttgart(GER)",20AUG1993,1211, ,(10.57/+0.9-7.57/+1.1-15.45-2.15-47.73/14.63/0.0-45.72-4.60-61.22-4:32.05)
44,45,8539,LindonVICTOR,28FEB1993,GRN,1,,"Columbia,SC(USA)",12MAY2017,1210, ,(10.64/+3.6-7.35/+2.1-15.18-2.05-48.74/14.45/+1.8-55.22-4.70-68.97-4:55.91)
45,45,8539,EelcoSINTNICOLAAS,07APR1987,NED,2,,"Mösle-Stadium,Götzis(AUT)",28MAY2017,1210, ,(10.57/+0.5-7.61/+0.6-14.62-1.91-48.37/14.16/-1.2-43.52-5.40-62.13-4:30.32)
46,47,8526,FranciscoJavierBENET,25MAR1968,ESP,2,,AlhamadeMurcia(ESP),17MAY1998,1208, ,(10.72/+2.9-7.45/-1.2-14.57-1.92-48.10/13.83/+1.8-46.12-5.00-65.37-4:26.81)
47,47,8526,KristjanRAHNU,29AUG1979,EST,1,,Arles(FRA),05JUN2005,1208, ,(10.52/+2.2-7.58/+1.6-15.51-1.99-48.60/14.04/+3.1-50.81-4.95-60.71-4:52.18)
48,49,8524,SébastienLEVICQ,25JUN1971,FRA,4,,"LaCartuja,Sevilla(ESP)",25AUG1999,1208, ,(11.05/+0.2-7.52/-0.4-14.22-2.00-50.13/14.48/+0.6-44.65-5.50-69.01-4:26.81)
49,50,8521,LarbiBOURRADA,10MAY1988,ALG,5,,"EstádioOlímpico,RiodeJaneiro(BRA)",18AUG2016,1207, ,(10.75/-0.4-7.52/+0.4-13.78-2.10-47.98/14.15/+0.4-42.39-4.60-66.49-4:14.60)
50,51,8519,GuidoKRATSCHMER,10JAN1953,FRG,1,,Götzis(AUT),25MAY1986,1207, ,(10.82/-0.3-7.76/+2.7-16.62-1.93-48.75/14.09/+1.2-48.42-4.60-63.82-4:32.36)
51,51,8519,HansVANALPHEN,12JAN1982,BEL,1,,"Mösle-Stadium,Götzis(AUT)",27MAY2012,1207, ,(10.96/+1.0-7.62/+1.1-15.23-2.06-49.54/14.55/+0.4-45.45-4.96-64.15-4:20.87)
52,53,8509,KurtFELIX,04JUL1988,GRN,2,,"Stadionring,Ratingen(GER)",25JUN2017,1205, ,(10.91/+3.3-7.68/-0.8-15.31-2.07-48.67/14.92/+0.7-50.59-4.50-72.80-4:43.21)
53,54,8506,ValterKÜLVET,19FEB1964,URS,1,,Staiki(BLR),02JUL1988,1205, ,(11.05/-1.4-7.35/+0.4-15.78-2.00-48.08/14.55/-0.9-52.04-4.60-61.72-4:15.93)
54,55,8504,UweFREIMUTH,10SEP1961,GDR,2,,Dresden(GER),07JUL1985,1180, ,(11.10/NWI-7.66/NWI-16.30-1.94-48.46/14.77/NWI-47.72-4.90-68.26-4:30.56)
55,56,8500,ChristianSCHENK,09FEB1965,GER,4,,"Gottlieb-DaimlerStadion,Stuttgart(GER)",20AUG1993,1204, ,(11.22/-0.9-7.63/0.0-15.72-2.15-48.78/15.29/0.0-46.94-4.80-65.32-4:24.44)
56,57,8497,AlekseySYSOYEV,08MAR1985,RUS,2,,"Mösle-Stadium,Götzis(AUT)",01JUN2008,1203, ,(10.86/-0.7-7.01/+0.5-15.49-2.03-49.10/14.64/+1.3-54.08-5.10-64.22-4:38.82)
57,58,8496,YordaniGARCÍA,21NOV1988,CUB,1,,LaHabana(CUB),30MAY2009,1203, ,(10.88/+0.1-7.36/+0.2-16.50-2.10-48.77/14.07/-0.5-43.97-4.80-68.10-4:46.80)
58,59,8490,JaganHAMES,31OCT1975,AUS,1,,KualaLumpur(MAS),18SEP1998,1202, ,(10.77/0.0-7.64/+0.8-14.73-2.19-49.67/14.07/+0.4-46.40-5.00-64.67-64.67-5:02.68)
59,60,8485,StefanSCHMID,06MAY1970,GER,1,,"Stadionring,Ratingen(GER)",23JUL2000,1201, ,(10.82/0.0-7.59/-0.6-14.14-2.01-48.99/14.20/-1.6-44.24-5.06-67.63-4:31.76)
60,60,8485,StevenBASTIEN,04MAR1994,USA,2,,"HaywardField,Eugene,OR(USA)",20JUN2021,1201, ,(10.52/+1.8-7.20/-0.3-14.47-2.08-47.79/14.24/+1.9-42.10-4.95-61.20-4:22.21)
61,62,8484,KarelTILGA,05FEB1998,EST,1,,"SpecTownsTrack,Athens,GA(USA)",10APR2021,1201, ,(11.13/-0.5-7.69/0.0-15.32-2.10-49.53/15.16/0.0-47.13-N/A-66.55-4:26.95)
62,63,8479,OleksiyKASYANOV,26AUG1985,UKR,3,,"Olympiastadion,Berlin(GER)",20AUG2009,1201, ,(10.63/+0.2-7.80/+0.9-15.72-2.05-47.85/14.44/-0.1-46.70-4.80-49.00-4:24.52)
